"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_feedback","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_reset_feedback","count_sketchpad","count_trial_sequence","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","live_row_practice_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_end_of_experiment","response_end_of_practice","response_feedback","response_instructions","response_keyboard_response","response_time","response_time_end_of_experiment","response_time_end_of_practice","response_time_feedback","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_about_this_template","time_block_loop","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_feedback","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_reset_feedback","time_sketchpad","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"undefined","undefined","undefined","undefined","black","yes","psycho","psycho","psycho","0","relative","undefined","undefined","NA","0","0","0","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","0","0","09/16/20 13:07:59","A template for eye-tracking experiments","yes","","DotProbeEyeTracker.osexp","C:/Projects/Open Sesame/Dot Probe","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","0","C:/Projects/Open Sesame/Dot Probe/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.3","yes","0","space","NA","NA","NA","space","NA","679.578099982","NA","NA","NA","679.578099982","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","39818.2545","39818.2072","NA","NA","3397.61509997","NA","NA","39137.773","NA","47451.6363","39817.6465","39847.3146","3398.26549997","NA","46442.6171","NA","NA","47446.4818","39847.2542","PyGaze eye-tracking template","0","0","0","yes","1920"
"undefined","undefined","undefined","undefined","black","yes","psycho","psycho","psycho","0","relative","undefined","undefined","NA","0","1","1","0","0","0","0","0","0","NA","1","0","1","0","1","1","1","1","1","1","09/16/20 13:07:59","A template for eye-tracking experiments","yes","","DotProbeEyeTracker.osexp","C:/Projects/Open Sesame/Dot Probe","no","mono","no","18","no","white","no","yes","1080","psycho","0","0","0","C:/Projects/Open Sesame/Dot Probe/subject-1.csv","psycho","Lentiform Loewenfeld","3.3.3","no","0","space","NA","space","space","space","NA","430.934100004","NA","430.934100004","1745.19620003","679.578099982","NA","2","legacy","1024","2","48000","-16","experiment","1","odd","NA","49950.982","49950.9333","NA","49519.1042","3397.61509997","49950.3952","47750.7856","39137.773","NA","52353.3724","39817.6465","49978.2977","3398.26549997","47457.3088","51343.5655","47691.7126","NA","52348.2578","49978.2373","PyGaze eye-tracking template","0","0","0","yes","1920"
